图书名字,作者,引述,出版社,发行日期,价格,评分,评价人数,图书详细链接
《追风筝的人》,[美] 卡勒德·胡赛尼,为你，千千万万遍,上海人民出版社,2006-5,29.00元,8.8,274665人评价,https://book.douban.com/subject/1770782/
《小王子》,[法] 圣埃克苏佩里,献给长成了大人的孩子们,人民文学出版社,2003-8,22.00元,9.0,221424人评价,https://book.douban.com/subject/1084336/
《围城》,钱锺书,对于“人艰不拆”四个字最彻底的违抗,人民文学出版社,1991-2,19.00,8.9,186234人评价,https://book.douban.com/subject/1008145/
《解忧杂货店》,[日] 东野圭吾,一碗精心熬制的东野牌鸡汤，拒绝很难,南海出版公司,2014-5,39.50元,8.6,218076人评价,https://book.douban.com/subject/25862578/
《活着》,余华,活着本身就是人生最大的意义,南海出版公司,1998-5,12.00元,9.1,128506人评价,https://book.douban.com/subject/1082154/
《白夜行》,[日] 东野圭吾,暗夜独行的残破灵魂，爱与恶本就难分难舍,南海出版公司,2008-9,29.80元,9.1,187342人评价,https://book.douban.com/subject/3259440/
《挪威的森林》,[日] 村上春树,村上之发轫，多少人的青春启蒙,上海译文出版社,2001-2,18.80元,8.0,183885人评价,https://book.douban.com/subject/1046265/
《嫌疑人X的献身》,[日] 东野圭吾,数学好是一种极致的浪漫,南海出版公司,2008-9,28.00,8.9,140039人评价,https://book.douban.com/subject/3211779/
《三体》,刘慈欣,你我不过都是虫子,重庆出版社,2008-1,23.00,8.8,138505人评价,https://book.douban.com/subject/2567698/
《不能承受的生命之轻》,[捷克] 米兰·昆德拉,朝向媚俗的一次伟大的进军,上海译文出版社,2003-7,23.00元,8.5,133398人评价,https://book.douban.com/subject/1017143/
《红楼梦》,[清] 曹雪芹 著,谁解其中味？,人民文学出版社,1996-12,59.70元,9.5,118766人评价,https://book.douban.com/subject/1007305/
《梦里花落知多少》,郭敬明,只是青春留下的余烬,春风文艺出版社,2003-11,20.00元,7.2,145235人评价,https://book.douban.com/subject/1016300/
《达·芬奇密码》,[美] 丹·布朗,一切畅销的因素都有了,上海人民出版社,2004-2,28.00元,8.2,125927人评价,https://book.douban.com/subject/1040771/
《看见》,柴静,在这里看见中国,广西师范大学出版社,2013-1-1,39.80元,8.8,116306人评价,https://book.douban.com/subject/20427187/
《百年孤独》,[哥伦比亚] 加西亚·马尔克斯,尼采所谓的永劫复归，一场无始无终的梦魇,南海出版公司,2011-6,39.50元,9.2,108884人评价,https://book.douban.com/subject/6082808/
《1988：我想和这个世界谈谈》,韩寒,车手韩寒的公路小说,国际文化出版公司,2010-9,25.00元,7.9,119352人评价,https://book.douban.com/subject/5275059/
《何以笙箫默》,顾漫,倒追有风险，入行需谨慎,朝华出版社,2007-4,15.00元,8.0,117100人评价,https://book.douban.com/subject/1461903/
《平凡的世界（全三部）》,路遥,中国当代城乡生活全景,人民文学出版社,2005-1,64.00元,9.0,98055人评价,https://book.douban.com/subject/1200840/
《简爱》,[英] 夏洛蒂·勃朗特,灰姑娘在十九世纪,世界图书出版公司,2003-11,18.00元,8.5,105347人评价,https://book.douban.com/subject/1141406/
《哈利·波特与魔法石》,[英] J. K. 罗琳,羽加迪姆勒维奥萨！,人民文学出版社,2000-9,19.50元,9.0,85332人评价,https://book.douban.com/subject/1041007/
《白夜行》,东野圭吾,封面剧透,南海出版公司,2013-1-1,39.50元,9.2,86749人评价,https://book.douban.com/subject/10554308/
《三体Ⅱ》,刘慈欣,无边的黑暗森林，比第一部更为恢弘壮丽,重庆出版社,2008-5,32.00,9.2,82383人评价,https://book.douban.com/subject/3066477/
《飘》,[美国] 玛格丽特·米切尔,革命时期的爱情，随风而逝,译林出版社,2000-9,40.00元,9.3,76525人评价,https://book.douban.com/subject/1068920/
《送你一颗子弹》,刘瑜,犀利又温柔，穿过胸口隐隐作痛,上海三联书店,2010-1,25.00元,8.6,86761人评价,https://book.douban.com/subject/4238362/
《三体Ⅲ》,刘慈欣,终章，何去何从,重庆出版社,2010-11,38.00元,9.2,81251人评价,https://book.douban.com/subject/5363767/
《天才在左 疯子在右》,高铭,简称“疯癫与文明”,武汉大学出版社,2010-2,29.80元,8.3,89263人评价,https://book.douban.com/subject/4242172/
《傲慢与偏见》,[英] 奥斯丁,所有现代言情小说的母体,人民文学出版社,1993-7,13.00元,8.8,83318人评价,https://book.douban.com/subject/1083428/
《倾城之恋》,张爱玲,一段姻缘，需要一座城的倾覆来成全,花城出版社,1997-3-1,11.00,8.5,86077人评价,https://book.douban.com/subject/1090043/
